40	150
0	1	10
1	1	20
1	6	15
1	14	15
1	16	15
2	3	10
3	3	30
3	4	60
4	5	10
5	2	60
5	5	30
5	8	15
6	7	15
7	0	15
7	7	30
7	14	20
8	9	15
9	4	20
9	9	60
9	12	15
10	11	30
11	11	20
11	16	30
12	13	10
13	8	60
13	13	30
13	18	20
14	15	10
15	0	20
15	6	30
15	15	15
15	16	15
16	17	15
17	0	15
17	10	15
17	14	60
17	17	20
18	19	10
19	12	60
19	19	20
20	21	15
21	21	60
21	22	20
21	24	30
21	26	15
21	28	60
21	30	30
21	32	60
21	34	30
21	36	15
21	38	30
22	23	10
23	20	20
23	23	60
23	24	15
23	26	20
23	28	60
23	30	60
23	32	60
23	34	30
23	36	20
23	38	60
24	25	10
25	20	15
25	22	60
25	25	30
25	26	60
25	28	15
25	30	15
25	32	30
25	34	20
25	36	15
25	38	20
26	27	15
27	20	20
27	22	15
27	24	30
27	27	20
27	28	15
27	30	20
27	32	60
27	34	15
27	36	20
27	38	20
28	29	15
29	20	30
29	22	60
29	24	60
29	26	60
29	29	15
29	30	60
29	32	20
29	34	60
29	36	20
29	38	15
30	31	30
31	20	30
31	22	15
31	24	30
31	26	30
31	28	60
31	31	60
31	32	60
31	34	20
31	36	60
31	38	60
32	33	30
33	20	15
33	22	15
33	24	20
33	26	30
33	28	15
33	30	30
33	33	60
33	34	30
33	36	30
33	38	60
34	35	10
35	20	60
35	22	60
35	24	15
35	26	20
35	28	15
35	30	20
35	32	60
35	35	15
35	36	15
35	38	20
36	37	30
37	20	20
37	22	30
37	24	15
37	26	15
37	28	60
37	30	60
37	32	15
37	34	15
37	37	30
37	38	15
38	39	15
39	20	60
39	22	15
39	24	60
39	26	60
39	28	20
39	30	15
39	32	20
39	34	30
39	36	15
39	39	30
